ArXiV id,Contains GitHub URL,GitHub URL,GitHub repo contains ArXiV URL,Contains Zenodo URL,Zenodo URL,Zenodo record contains ArXiV URL
2309.04142,Found,https://github.com/happygirlzt/ICSME-PRTiger,Missing,Missing,,
2307.08885,Found,https://github.com/Kronuz/esprima-python,Missing,Missing,,
2307.09765,Found,https://github.com/maxxbw54/GAI4SQA,Missing,Missing,,
2310.01602,Found,https://github.com/RaoNikitha/CAT-LM,Missing,Found,https://zenodo.org/api/records/7901830,Missing
2308.06898,Found,https://github.com/LIANGQINGYUAN/CupCleaner,Missing,Missing,,
2310.02368,Found,https://github.com/XAMPPRocky/tokei,Missing,Missing,,
2307.04080,Found,https://github.com/tensorflow/tensorflow,Missing,Missing,,
2307.08947,Found,https://github.com/authorunknown326/Deep4Deep,Missing,Missing,,
2309.06020,Found,https://github.com/apache/ant,Missing,Missing,,
2310.11113,Found,https://github.com/soarsmu/LLM4SA4SE,Missing,Missing,,
2308.00316,Found,https://github.com/soneyahossain/hcc-gap-recommender,Missing,Missing,,
2310.02128,Found,https://github.com/VirtusLab/scg-cli,Missing,Missing,,
2310.14209,Found,https://github.com/IBM/Project_CodeNet,Missing,Missing,,
2307.03996,,,,,,
2306.15124,Found,https://github.com/rdfjs/N3.js,Missing,Missing,,
2307.07117,Found,https://github.com/logaretm/vee-validate,Missing,Missing,,
2308.11387,Found,https://github.com/mogindroid/GIDroid,Missing,Missing,,
2307.06081,Missing,,,Found,https://zenodo.org/api/records/8124332,Missing
2310.06800,Found,https://github.com/MOB2022/MOB-dataset,Missing,Missing,,
2308.16586,Found,https://github.com/c2nes/javalang,Missing,Found,https://zenodo.org/api/records/7053299,Missing
2307.12082,Found,https://github.com/mauricioaniche/ck,Missing,Missing,,
2307.01373,Found,https://github.com/verificarlo/fuzzy,Missing,Missing,,
2307.05137,,,,,,
2309.10205,,,,,,
2307.13156,Found,https://github.com/Ericsson/CodeCompass,Missing,Missing,,
2307.05584,Found,https://github.com/sraedler/MDE_for_ML_Generation,Missing,Missing,,
2307.12146,Found,https://github.com/rajs80266/CodeSmellDetection,Missing,Missing,,
